anio,mes,centro_costo,componente,monto
2026,2,Personas,reclutamiento,4290165.0
2026,3,Personas,reclutamiento,4290165.0
2026,4,Personas,reclutamiento,4290165.0
2026,5,Personas,reclutamiento,4290165.0
2026,6,Personas,reclutamiento,4290165.0
2026,7,Personas,reclutamiento,4290165.0
2026,8,Personas,reclutamiento,4290165.0
2026,9,Personas,reclutamiento,4290165.0
2026,10,Personas,reclutamiento,4290165.0
2026,11,Personas,reclutamiento,4290165.0
2026,12,Personas,reclutamiento,4290165.0
2026,1,Tecnologia,licencias,699020.0
2026,2,Tecnologia,licencias,699020.0
2026,3,Tecnologia,licencias,699020.0
2026,4,Tecnologia,licencias,699020.0
2026,5,Tecnologia,licencias,699020.0
2026,6,Tecnologia,licencias,699020.0
2026,7,Tecnologia,licencias,699020.0
2026,8,Tecnologia,licencias,699020.0
2026,9,Tecnologia,licencias,699020.0
2026,10,Tecnologia,licencias,699020.0
2026,11,Tecnologia,licencias,699020.0
2026,12,Tecnologia,licencias,699020.0
2026,1,Tecnologia,infraestructura_cloud,1991282.0
2026,2,Tecnologia,infraestructura_cloud,1991282.0
2026,3,Tecnologia,infraestructura_cloud,1991282.0
2026,4,Tecnologia,infraestructura_cloud,1991282.0
2026,5,Tecnologia,infraestructura_cloud,1991282.0
2026,6,Tecnologia,infraestructura_cloud,1991282.0
2026,7,Tecnologia,infraestructura_cloud,1991282.0
2026,8,Tecnologia,infraestructura_cloud,1991282.0
2026,9,Tecnologia,infraestructura_cloud,1991282.0
2026,10,Tecnologia,infraestructura_cloud,1991282.0
2026,11,Tecnologia,infraestructura_cloud,1991282.0
2026,12,Tecnologia,infraestructura_cloud,1991282.0
2026,1,Tecnologia,soporte,5374133.0
2026,2,Tecnologia,soporte,5374133.0
2026,3,Tecnologia,soporte,5374133.0
2026,4,Tecnologia,soporte,5374133.0
2026,5,Tecnologia,soporte,5374133.0
2026,6,Tecnologia,soporte,5374133.0
2026,7,Tecnologia,soporte,5374133.0
2026,8,Tecnologia,soporte,5374133.0
2026,9,Tecnologia,soporte,5374133.0
2026,10,Tecnologia,soporte,5374133.0
2026,11,Tecnologia,soporte,5374133.0
2026,12,Tecnologia,soporte,5374133.0
